"DealerID","NewUsed","Year","Make","Model","ExteriorColor","InteriorColor","EngineCylinders","Trim","SellingPrice","Miles","MPG(Miles per gallon)","FuelType","website Link for more details","Car Features","website Link for images"
"2013","NEW","2022","Chrysler","Pacifica","Bright White Clearcoat","Black","6","Hybrid Touring L FWD","46615","0","25","Hybrid","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://vehicle-images.dealerinspire.com/2cb8-110007452/2C4RC1L72NR135040/dd5d7a326e94133b4878159a2e886ddf.jpg"
"2013","NEW","2022","Chrysler","Pacifica","Fathom Blue Pearlcoat","Black","6","Hybrid Touring L FWD","47110","5","25","Hybrid","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://cdn.carbuzz.com/gallery-images/1600/930000/100/930178.jpg"
"2013","NEW","2022","Chrysler","Pacifica","Ceramic Gray Clearcoat","Black","6","Hybrid Touring L FWD","47110","6","25","Hybrid","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://vehicle-images.dealerinspire.com/a122-18003041/2C4RC1BG9NR168134/fb60012d5c0179691899a9fe5ad1bd19.jpg"
"2013","NEW","2022","Ram","1500","Billet Silver Metallic Clearcoat","Black","8","Limited 4x4 Crew Cab 5'7"" Box","75595","381","21","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://inv.assets.ansira.net/ChromeColorMatch/us/TRANSPARENT_cc_2023RMT140053_01_1280_PSC.png"
"2013","USED","2022","Jeep","Grand Cherokee 4xe","Midnight Sky","Global Black","4","Summit Reserve 4x4","75160","2173","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://rayscarinfo.com/wp-content/uploads/2023/06/2023-jeep-grand-cherokee-4xe-midnight-sky-black-clear-coat-color.jpg"
"2013","NEW","2022","Jeep","Compass","Sting-Gray Clearcoat","Black","4","Limited 4x4","34227","12","30","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://rayscarinfo.com/wp-content/uploads/2023/06/2023-jeep-compass-sting-gray-clear-coat-black-clear-coat-color.jpg"
"2013","NEW","2022","Jeep","Compass","Diamond Black Crystal Pearlcoat","Black","4","Latitude Lux","31977","12","30","Gasoline","https://www.pinebeltcjdr.com/","off road capability, compact SUV, affordable price","https://di-uploads-pod12.dealerinspire.com/glennsfreedomdcjr/uploads/2022/06/2023-Jeep-Compass-Colors-Diamond-Black-Crystal-Pearl-Coat-Exterior-Paint.jpg"
"2013","NEW","2023","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","Overland 4x4","69742","5","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2023","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","Overland 4x4","69742","15","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2023","Jeep","Wrangler 4xe","Granite Crystal Metallic Clearcoat","Black","4","4x4","60052","8","25","Hybrid","https://www.pinebeltcjdr.com/","Adventure, off road","https://vehicle-images.dealerinspire.com/fbeb-110007452/1C4JJXP64PW579957/6a25a6ed36af5b424e3abcfcca247249.jpg"
"2013","NEW","2023","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","4x4","63862","12","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2023","Ram","1500","Bright White Clearcoat","Black","8","Big Horn 4x4 Crew Cab 6'4"" Box","57277","105","22","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://vehicle-images.dealerinspire.com/f94a-11002162/3C6RR7KG9PG663869/311712d4ccd6328c72dd37b56b4e37a5.jpg"
"2013","NEW","2023","Jeep","Wrangler 4xe","White Knuckle Clearcoat","Black","4","4x4","59557","15","25","Hybrid","https://www.pinebeltcjdr.com/","Adventure, off road","https://vehicle-images.dealerinspire.com/31d0-110008543/1C4JJXR66PW705491/ad78604db74fea22cf5ffd0b724ce288.jpg"
"2013","NEW","2023","Ram","1500","Bright White Clearcoat","Black","8","Limited 4x4 Crew Cab 5'7"" Box","83572","9","29","Diesel","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://vehicle-images.dealerinspire.com/f94a-11002162/3C6RR7KG9PG663869/311712d4ccd6328c72dd37b56b4e37a5.jpg"
"2013","NEW","2023","Jeep","Wrangler 4xe","Sarge Green Clearcoat","Black","4","4x4","60052","12","25","Hybrid","https://www.pinebeltcjdr.com/","Adventure, off road","https://vehicle-images.dealerinspire.com/df84-11002002/thumbnails/large/1C4JJXP67PW604253/77f4ffbd379387eecaf2b154e371e7d9.jpg"
"2013","NEW","2023","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","4x4","63862","5","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2023","Ram","1500","Bright White Clearcoat","Black","6","Rebel 4x4 Crew Cab 5'7"" Box","72217","18","22","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://vehicle-images.dealerinspire.com/f94a-11002162/3C6RR7KG9PG663869/311712d4ccd6328c72dd37b56b4e37a5.jpg"
"2013","NEW","2023","Ram","1500","Diamond Black Crystal Pearlcoat","Black","6","Big Horn 4x4 Crew Cab 5'7"" Box","54982","8","24","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://vehicle-images.dealerinspire.com/6ad9-11002002/1C6RREHT2PN545453/e5607e195827f2c449783e4a5d49bef8.jpg"
